id,osX,osY,Peat depth (m)
0,384580,533967,1.72
1,384531,533965,2.00
2,384464,533945,2.00
3,384418,533952,2.00
4,384519,533929,0.30
5,384477,533909,0.38
6,384426,533907,2.00
7,384371,533903,0.25
8,384323,533897,1.00
9,384581,533918,0.74
10,384539,533906,0.13
11,384581,533918,0.11
12,384768,533795,0.60
13,384721,533794,0.60
14,384673,533794,0.91
15,384759,533614,0.36
16,384712,533609,0.70
17,384667,533590,0.02
18,384763,533741,0.67
19,384720,533743,0.84
20,384674,533739,0.81
21,384761,533697,0.25
22,384710,533689,0.37
23,384663,533697,0.49
24,384617,533718,0.46
25,384673,533794,0.85
26,384600,533803,0.43
27,384579,533722,0.19
28,384537,533705,0.25
29,384514,533705,0.56
30,384471,533702,0.14
31,384610,533589,0.00
32,384572,533594,0.00
33,384610,533589,0.55
34,384620,533755,0.92
35,384620,533755,0.60
36,384741,533850,0.40
37,384695,533853,0.70
38,384644,533854,0.90
39,384600,533868,0.61
40,384572,533938,1.89
41,384733,533902,1.00
42,384683,533905,0.96
43,384633,533902,0.82
44,384732,533416,0.68
45,384732,533416,1.71
46,384625,533416,0.97
47,384725,533446,1.98
48,384678,533988,2.00
49,384629,533976,1.80
50,384376,533533,2.00
51,384430,533538,0.95
52,384478,533552,0.57
53,384522,533572,0.06
55,384403,533635,1.00
56,384452,533646,1.66
57,384473,533644,1.00
58,384524,533656,0.53
59,384446,533725,2.70
60,384458,533664,1.00
61,384516,533675,0.63
62,384361,533571,0.59
63,384413,533592,0.97
64,384464,533590,0.87
65,384609,533629,0.11
66,384634,533647,0.12
67,384653,533639,0.25
68,384669,533640,0.61
69,384588,533555,1.06
70,384588,533555,0.21
71,384588,533555,0.14
72,384595,533486,0.15
73,384652,533493,0.90
74,384654,533493,0.92
75,384587,533598,0.15
76,384645,533601,0.17
77,384693,533609,0.09
78,384762,533527,0.16
80,384830,533519,0.63
81,384741,533574,0.21
82,384791,533586,0.12
83,384734,533671,0.47
84,384763,533669,0.53
85,384734,533609,0.26
86,384769,533608,0.21
87,384353,533710,0.54
88,384403,533715,0.90
89,384415,533726,3.34
90,384340,533754,1.73
91,384393,533763,1.80
92,384441,533764,1.96
93,384308,533887,1.00
94,384362,533907,0.69
95,384410,533918,0.64
96,384123,533757,1.99
97,384382,533810,1.78
98,384434,533308,0.66
